date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:34:08	97902/97902	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Jun%202019%2007:58:52%20GMT	https://demo.makewebbetter.com/animative-css-image-hover-effects/demo-1.html	C:/My%20Web%20Sites/image%20hover%20temp/demo.makewebbetter.com/animative-css-image-hover-effects/demo-1.html	(from )
19:34:09	206/206	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2016%20Dec%202021%2014:04:08%20GMT	https://demo.makewebbetter.com/robots.txt		(from )
19:34:10	114011/114011	---M-Z	200	added ('OK')	text/css	date:Mon,%2024%20Jun%202019%2007:59:02%20GMT	https://demo.makewebbetter.com/animative-css-image-hover-effects/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/image%20hover%20temp/demo.makewebbetter.com/animative-css-image-hover-effects/assets/css/bootstrap.min.css	(from https://demo.makewebbetter.com/animative-css-image-hover-effects/demo-1.html)
19:34:10	21984/21984	---MCZ	200	added ('OK')	text/css	date:Mon,%2024%20Jun%202019%2007:59:00%20GMT	https://demo.makewebbetter.com/animative-css-image-hover-effects/assets/css/font-awesome.min.css	C:/My%20Web%20Sites/image%20hover%20temp/demo.makewebbetter.com/animative-css-image-hover-effects/assets/css/font-awesome.min.css	(from https://demo.makewebbetter.com/animative-css-image-hover-effects/demo-1.html)
19:34:11	64009/64009	---M-Z	200	added ('OK')	text/css	date:Mon,%2024%20Jun%202019%2007:59:00%20GMT	https://demo.makewebbetter.com/animative-css-image-hover-effects/assets/css/style.css	C:/My%20Web%20Sites/image%20hover%20temp/demo.makewebbetter.com/animative-css-image-hover-effects/assets/css/style.css	(from https://demo.makewebbetter.com/animative-css-image-hover-effects/demo-1.html)
19:34:12	4557/4557	---MCZ	200	added ('OK')	text/css	date:Mon,%2024%20Jun%202019%2007:58:59%20GMT	https://demo.makewebbetter.com/animative-css-image-hover-effects/assets/css/common.css	C:/My%20Web%20Sites/image%20hover%20temp/demo.makewebbetter.com/animative-css-image-hover-effects/assets/css/common.css	(from https://demo.makewebbetter.com/animative-css-image-hover-effects/demo-1.html)
19:34:12	64721/64721	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Jun%202019%2007:59:15%20GMT	https://demo.makewebbetter.com/animative-css-image-hover-effects/assets/images/style-1.jpg	C:/My%20Web%20Sites/image%20hover%20temp/demo.makewebbetter.com/animative-css-image-hover-effects/assets/images/style-1.jpg	(from https://demo.makewebbetter.com/animative-css-image-hover-effects/demo-1.html)
19:34:13	66476/66476	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Jun%202019%2007:59:12%20GMT	https://demo.makewebbetter.com/animative-css-image-hover-effects/assets/images/style-2.jpg	C:/My%20Web%20Sites/image%20hover%20temp/demo.makewebbetter.com/animative-css-image-hover-effects/assets/images/style-2.jpg	(from https://demo.makewebbetter.com/animative-css-image-hover-effects/demo-1.html)
19:34:14	58078/58078	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Jun%202019%2007:59:09%20GMT	https://demo.makewebbetter.com/animative-css-image-hover-effects/assets/images/style-3.jpg	C:/My%20Web%20Sites/image%20hover%20temp/demo.makewebbetter.com/animative-css-image-hover-effects/assets/images/style-3.jpg	(from https://demo.makewebbetter.com/animative-css-image-hover-effects/demo-1.html)
19:34:14	66380/66380	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Jun%202019%2007:59:27%20GMT	https://demo.makewebbetter.com/animative-css-image-hover-effects/assets/images/style-4.jpg	C:/My%20Web%20Sites/image%20hover%20temp/demo.makewebbetter.com/animative-css-image-hover-effects/assets/images/style-4.jpg	(from https://demo.makewebbetter.com/animative-css-image-hover-effects/demo-1.html)
